 train         node  observed  predicted
     n            1    "NA"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "COVID"  "No_Bias"
     y            1    "COVID"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "COVID"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "COVID"  "No_Bias"
     y            1    "Non_COVID"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     n            1    "NA"  "COVID"
     y            1    "No_Bias"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "COVID"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "COVID"  "No_Bias"
     n            1    "NA"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "COVID"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "COVID"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "COVID"  "No_Bias"
     y            1    "COVID"  "No_Bias"
     n            1    "NA"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     n            1    "NA"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "COVID"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "Non_COVID"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "Non_COVID"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "Non_COVID"  "No_Bias"
     y            1    "COVID"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "COVID"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     n            1    "NA"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "COVID"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     n            1    "NA"  "No_Bias"
     y            1    "COVID"  "No_Bias"
     n            1    "NA"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "Non_COVID"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "COVID"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     n            1    "NA"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "COVID"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "Non_COVID"  "No_Bias"
     y            1    "COVID"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     n            1    "NA"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "COVID"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "COVID"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "COVID"  "No_Bias"
     y            1    "COVID"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "COVID"  "No_Bias"
     y            1    "COVID"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     n            1    "NA"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "Non_COVID"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "COVID"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     n            1    "NA"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "Non_COVID"  "No_Bias"
     y            1    "Non_COVID"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "Non_COVID"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "COVID"  "COVID"
     y            1    "No_Bias"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "COVID"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "COVID"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     n            1    "NA"  "No_Bias"
     n            1    "NA"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "Non_COVID"  "No_Bias"
     n            1    "NA"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "COVID"  "No_Bias"
     y            1    "COVID"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "COVID"  "No_Bias"
     y            1    "COVID"  "No_Bias"
     y            1    "COVID"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     n            1    "NA"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "COVID"  "COVID"
     y            1    "No_Bias"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     n            1    "NA"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     n            1    "NA"  "No_Bias"
     y            1    "COVID"  "No_Bias"
     y            1    "Non_COVID"  "No_Bias"
     n            1    "NA"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     n            1    "NA"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     y            1    "COVID"  "No_Bias"
     y            1    "No_Bias"  "No_Bias"
     n            1    "NA"  "No_Bias"
